global_order,step_no,step_title,sub_step_no,sub_step_title,position,sl_no,id,title,difficulty,difficulty_code,tags,leetcode,coding_ninjas,gfg,youtube,article,tuf_plus,tuf_plus_editorial,leetcode_original,coding_ninjas_original,gfg_original,youtube_original,article_original,tuf_plus_original,tuf_plus_editorial_original,flags_and_link_issues
1,1,Learn the basics,1,Things to Know in C++/Java/Python or any language,1,1,srinpttpt,User Input / Output,Easy,0,Introduction to DSA,,https://www.codingninjas.com/studio/problems/find-character-case_58513,https://practice.geeksforgeeks.org/problems/search-query-auto-complete/0,https://www.youtube.com/watch?v=EAR7De6Goz4&t=250,https://takeuforward.org/c/c-basic-input-output/,https://takeuforward.org/plus/dsa/problems/input-output,https://takeuforward.org/plus/dsa/problems/input-output?tab=editorial,,https://www.codingninjas.com/studio/problems/find-character-case_58513?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://practice.geeksforgeeks.org/problems/search-query-auto-complete/0?category%5B%5D=Strings&category%5B%5D=Strings&problemStatus=unsolved&difficulty%5B%5D=2&page=1&query=category%5B%5DStringsproblemStatusunsolveddifficulty%5B%5D2page1category%5B%5DStr,https://youtu.be/EAR7De6Goz4?t=250,,,,
2,1,Learn the basics,1,Things to Know in C++/Java/Python or any language,2,2,dttyps,Data Types,Easy,0,Introduction to DSA,,https://www.codingninjas.com/studio/problems/data-type_8357232,https://www.geeksforgeeks.org/problems/data-type-1666706751/1,https://www.youtube.com/watch?v=EAR7De6Goz4&t=755,,https://takeuforward.org/plus/dsa/problems/cpp,https://takeuforward.org/plus/dsa/problems/cpp,,https://www.codingninjas.com/studio/problems/data-type_8357232?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3Dqmgvx,https://youtu.be/EAR7De6Goz4?t=755,,,,gfg:bitly_expanded_destination_unverified
3,1,Learn the basics,1,Things to Know in C++/Java/Python or any language,3,3,iflssttmnts,If Else statements,Easy,0,Introduction to DSA,,https://www.codingninjas.com/studio/problems/if-else-decision-making_8357235,https://practice.geeksforgeeks.org/problems/java-if-else-decision-making0924/0,https://www.youtube.com/watch?v=EAR7De6Goz4&t=1259,https://takeuforward.org/if-else/if-else-statements/,https://takeuforward.org/plus/dsa/problems/if-elseif,https://takeuforward.org/plus/dsa/problems/if-elseif?tab=editorial,,https://www.codingninjas.com/studio/problems/if-else-decision-making_8357235?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://practice.geeksforgeeks.org/problems/java-if-else-decision-making0924/0?category%5B%5D=Java&category%5B%5D=Java&difficulty%5B%5D=-2&page=1&query=category%5B%5DJavadifficulty%5B%5D-2page1category%5B%5DJava,https://youtu.be/EAR7De6Goz4?t=1259,,,,
4,1,Learn the basics,1,Things to Know in C++/Java/Python or any language,4,4,switchsttmnt,Switch Statement,Easy,0,Introduction to DSA,,https://www.codingninjas.com/studio/problems/switch-case-statement_8357244,https://practice.geeksforgeeks.org/problems/java-switch-case-statement3529/1,https://www.youtube.com/watch?v=EAR7De6Goz4,https://takeuforward.org/switch-case/switch-case-statements/,https://takeuforward.org/plus/dsa/problems/switch-case,https://takeuforward.org/plus/dsa/problems/switch-case?tab=editorial,,https://www.codingninjas.com/studio/problems/switch-case-statement_8357244?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://youtu.be/EAR7De6Goz4,,,,
5,1,Learn the basics,1,Things to Know in C++/Java/Python or any language,5,5,whtrrrysstrings,"What are arrays, strings?",Easy,0,Introduction to DSA,,,,https://www.youtube.com/watch?v=EAR7De6Goz4&t=2415,,https://takeuforward.org/plus/dsa/problems/cpp,https://takeuforward.org/plus/dsa/problems/cpp,,,,https://youtu.be/EAR7De6Goz4?t=2415,,,,
6,1,Learn the basics,1,Things to Know in C++/Java/Python or any language,6,6,frlps,For loops,Easy,0,Introduction to DSA,,https://www.codingninjas.com/studio/problems/nth-fibonacci-number_74156,,https://www.youtube.com/watch?v=EAR7De6Goz4&t=3096,https://takeuforward.org/for-loop/understanding-for-loop/,https://takeuforward.org/plus/dsa/problems/cpp,https://takeuforward.org/plus/dsa/problems/cpp,,https://www.codingninjas.com/studio/problems/nth-fibonacci-number_74156?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://youtu.be/EAR7De6Goz4?t=3096,,,,
7,1,Learn the basics,1,Things to Know in C++/Java/Python or any language,7,7,whillps,While loops,Easy,0,Introduction to DSA,,https://www.codingninjas.com/studio/problems/sum-of-even-odd_624650,https://practice.geeksforgeeks.org/problems/while-loop-printtable-java/1,https://www.youtube.com/watch?v=EAR7De6Goz4&t=3459,https://takeuforward.org/while-loop/while-loops-in-programming/,https://takeuforward.org/plus/dsa/problems/cpp,https://takeuforward.org/plus/dsa/problems/cpp,,https://www.codingninjas.com/studio/problems/sum-of-even-odd_624650?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,,https://youtu.be/EAR7De6Goz4?t=3459,,,,
8,1,Learn the basics,1,Things to Know in C++/Java/Python or any language,8,8,fnctinspssbyrfrncndvl,Functions (Pass by Reference and Value),Easy,0,Introduction to DSA,,https://www.codingninjas.com/codestudio/problems/fa-1-ece_4606261,https://www.geeksforgeeks.org/problems/pass-by-reference-and-value/1,https://www.youtube.com/watch?v=EAR7De6Goz4&t=3677,,https://takeuforward.org/plus/dsa/problems/cpp,https://takeuforward.org/plus/dsa/problems/cpp,,https://www.codingninjas.com/codestudio/problems/fa-1-ece_4606261?utm_source=striver&utm_medium=website&utm_campaign=a_zcoursetuf,https://bit.ly/3DqE0ac,https://youtu.be/EAR7De6Goz4?t=3677,,,,gfg:bitly_expanded_destination_unverified
9,1,Learn the basics,1,Things to Know in C++/Java/Python or any language,9,9,timcmplxitylrnbsicsndthnnlysinnxtstps,"Time Complexity [Learn Basics, and then analyse in next Steps]",Easy,0,Introduction to DSA,,,,https://www.youtube.com/watch?v=FPu9Uld7W-E,https://takeuforward.org/time-complexity/time-and-space-complexity-strivers-a2z-dsa-course/,,https://takeuforward.org/plus/dsa/problems/theory-with-examples,,,,https://youtu.be/FPu9Uld7W-E,,,,
10,1,Learn the basics,2,Build-up Logical Thinking,1,1,pttrns,Patterns,Easy,0,Maths | Data Structures,,,,https://www.youtube.com/watch?v=tNm_NNSB3_w,https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/,https://takeuforward.org/plus/dsa/problems/easy-and-medium,https://takeuforward.org/plus/dsa/problems/easy-and-medium?tab=editorial,,,,https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3,,,,
